item_id,order_id,product_id,product_sku,product_name,qty_ordered,price,line_total,created_at,modified_at
188,84.0,62534,210761173,210761175,1,3320.0,3320.0,2016-12-07 13:42:55,2021-07-06 15:49:56
189,84.0,53968,210761173,210761175,1,0.0,0.0,2016-12-07 13:42:55,2021-07-06 15:49:55
588,323.0,62691,210806546,Point-toe Brown Pump,1,2100.0,2100.0,2016-12-13 14:32:00,2021-07-06 15:49:56
589,323.0,56393,210806546,Point-toe Brown Pump,1,0.0,0.0,2016-12-13 14:32:00,2021-07-06 15:49:56
645,353.0,62220,210277381,Black Falabella Chamois Crossbody Bag,3,2300.0,6900.0,2016-12-13 16:59:57,2021-07-06 15:49:56
646,353.0,53187,210277381,Black Falabella Chamois Crossbody Bag,3,0.0,0.0,2016-12-13 16:59:57,2021-07-06 15:49:56
647,353.0,62220,210277484,Black Falabella Chamois Crossbody Bag,1,2300.0,2300.0,2016-12-13 16:59:57,2021-07-06 15:49:56
648,353.0,53188,210277484,Beige Falabella Chamois Crossbody Bag,1,0.0,0.0,2016-12-13 16:59:57,2021-07-06 15:49:56
2490,1364.0,77633,209949579,Slub Jersey V Neck:W | 209949579,1,375.0,375.0,2017-03-27 17:35:47,2021-07-06 15:49:53
2492,1366.0,53090,209333492,حقيبة فالابيلا صغيرة للكتف رمادية اللون بملمس وبر الغزال الخشن,1,2750.0,2750.0,2017-03-27 18:09:21,2021-07-06 15:49:53
3094,1750.0,133632,211533005,Pink Kira Pyramid Sequin Sandals,1,3100.0,3100.0,2017-06-01 11:36:42,2021-07-06 15:49:56
3095,1750.0,124785,211533005,Pink Kira Pyramid Sequin Sandals,1,0.0,0.0,2017-06-01 11:36:42,2021-07-06 15:49:56
3108,1756.0,106807,211500467,Light-Pink Rockstud Leather Camera Crossbody Bag,1,4240.0,4240.0,2017-06-01 14:22:30,2021-07-06 15:49:53
3129,1767.0,112805,211538635,Blue Meridian Stripe Frill Top,1,1600.0,1600.0,2017-06-06 10:10:17,2021-07-06 15:49:56
3130,1767.0,112409,211538635,Blue Meridian Stripe Frill Top,1,0.0,0.0,2017-06-06 10:10:17,2021-07-06 15:49:56
3193,1804.0,105549,204776056,"Ultra Facial Cream, 50ml",1,180.0,180.0,2017-06-11 17:53:25,2021-07-06 15:49:53
3204,1814.0,125042,211492753,Silver Claudie Flamingo Cross-Body Bag,1,2515.0,2515.0,2017-06-14 10:51:18,2021-07-06 15:49:53
3246,1852.0,125042,211492753,Silver Claudie Flamingo Cross-Body Bag,1,2515.0,2515.0,2017-06-15 08:12:48,2021-07-06 15:49:53
3247,1853.0,108008,211529813,Red Patent Pumps,1,235.0,235.0,2017-06-15 08:16:25,2021-07-06 15:49:53
3248,1854.0,90529,210686676,Wheat Bread Plate,1,425.0,425.0,2017-06-15 08:18:25,2021-07-06 15:49:53
4305,2629.0,57700,210860485,Evangeline White Satin Sandals,1,2100.0,2100.0,2017-08-13 15:50:51,2021-07-06 15:49:53
8823,,179349,211676593-giftcard,Gift Card,1,100.0,100.0,2018-03-12 15:02:40,2021-07-06 15:49:56
786,414.0,62356,210763922,Black Beck Embellished Pants,1,1300.0,1300.0,2016-12-19 17:12:21,2021-07-06 15:49:56
787,414.0,54068,210763922,Black Beck Embellished Pants,1,0.0,0.0,2016-12-19 17:12:21,2021-07-06 15:49:56
788,414.0,62231,210768756,210768942,1,2720.0,2720.0,2016-12-19 17:12:21,2021-07-06 15:49:56
789,414.0,54415,210768756,210768942,1,0.0,0.0,2016-12-19 17:12:21,2021-07-06 15:49:56
2835,1591.0,66910,210974741,Printed Silk Top,1,4400.0,4400.0,2017-04-25 11:00:18,2021-07-06 15:49:56
2836,1591.0,71437,210974741,Printed Silk Top,1,0.0,0.0,2017-04-25 11:00:18,2021-07-06 15:49:56
385915,207937.0,161061601,213051054,Onia Quilted Down Jacket,1,5571.43,5571.43,2019-11-07 15:33:41,2021-07-06 15:49:53
